School,Metric,Value,MeasureID,Type,Period,Detail,Source,ValidationStatus,ValidatedPeriod,ValidationNote
Public Museum High,Chronic Absence,30%,3.1,ENDS-aligned evidence,Current CNA entry,School CNA reports 70% satisfactory/at-risk attendance and 30% moderate/severe chronic absence.,Museum High CNA Workbook,Validated — direct source,2025-26 CNA,Directly stated as 30% moderate/severe chronic absence.
Public Museum High,Satisfactory Attendance,41%,,Context,2025-26 current,School CNA reports 41% satisfactory attendance compared with 27% in 2024-25.,Museum High CNA Workbook,Validated — direct source,2025-26,Directly stated as current-year satisfactory attendance.
Innovation Central High,Chronic Absence Change,↓ 12%,3.1,Context — no exact rate supplied,2025-26 current,School CNA states chronic absenteeism has decreased by 12% so far this school year.,Innovation Central CNA Workbook,Validated — direct source,2025-26 current,Directly stated as a 12% decrease so far this school year; not an exact chronic-absence rate.
Innovation Central High,EBRW Proficiency,~30%,,Approximate school evidence,CNA current,School CNA describes EBRW proficiency as around 30%; Mathematics is described as in the single digits.,Innovation Central CNA Workbook,Validated — approximate source statement,2025-26 CNA,Source says EBRW is around 30%; keep approximation symbol.
Aberdeen Academy,Chronically Absent Scholars,37,3.1,"Context — count, not rate",CNA current,School CNA notes 37 scholars identified as chronic in its attendance review.,Aberdeen CNA Workbook,Validated — direct source,2025-26 CNA,"Directly stated as 37 scholars chronic; count only, not rate."
Southwest Community Campus Middle/High,NWEA Reading CGP — Grades 7-8,52.8,2.2,ENDS-aligned grade-band evidence,2024-25,Building average Reading CGP for grades 7-8; school CNA states this is above district level.,SWMH-AB CNA Workbook,Validated — direct source,2024-25,Directly stated building average CGP 52.8.
Southwest Community Campus Middle/High,NWEA Reading CGP — Grades 9-10,54.7,2.2,Context — high school grade band,2024-25,Building average Reading CGP for grades 9-10; school CNA states this is above district level.,SWMH-AB CNA Workbook,Validated — direct source,2024-25,Directly stated building average CGP 54.7.
Southwest Community Campus Middle/High,Graduation,100%,1.2a,Context — year not specified,CNA current,School CNA identifies a 100% graduation rate as a strength; exact cohort year is not specified.,SWMH-AB CNA Workbook,Validated — source-stated context,CNA strength statement,Source states 100% graduation rate but does not specify the cohort year; do not treat as a formal ENDS KPI.
Grand Rapids Montessori Middle/High,Chronic Absence,53%,3.1,ENDS-aligned evidence,CNA current,School CNA reports 21% severe absence plus 32% moderate absenteeism.,GRM Middle High CNA Workbook,Validated — calculated from source components,2024-25,21% severe + 32% moderate = 53%; calculation is transparent.
Grand Rapids Montessori Middle/High,Suspension Change,+1.1%,3.2,Context — change only,vs. 2023-24,School CNA states suspensions were up 1.1% from 2023-24; exact suspension rate is not supplied.,GRM Middle High CNA Workbook,Validated — direct source,vs. 2023-24,Directly stated as up 1.1%; exact suspension rate is not supplied.
Innovation Central Middle School,ELA Growth,+6 pts,,Academic context,vs. 2023-24,Riverside CNA states the school showed growth of 6 points in ELA.,RMS CNA Workbook,Validated — direct source,2024-25 vs. 2023-24,Directly stated as 6-point growth.
Innovation Central Middle School,Math Growth,+3 pts,,Academic context,vs. 2023-24,Riverside CNA states the school showed growth of 3 points in Math.,RMS CNA Workbook,Validated — direct source,2024-25 vs. 2023-24,Directly stated as 3-point growth.
Innovation Central Middle School,African American Math Not Proficient,72%,,Equity context,CNA current,School CNA reports 72% of African American scholars were not proficient in Math.,RMS CNA Workbook,Validated — direct source,2024-25 CNA,Directly stated as 72% not proficient.
Innovation Central Middle School,African American ELA Not Proficient,52%,,Equity context,CNA current,School CNA reports 52% of African American scholars were not proficient in ELA.,RMS CNA Workbook,Validated — direct source,2024-25 CNA,Directly stated as 52% not proficient.
Public Museum High,Satisfactory Attendance,27%,,Attendance context,2024-25,"School CNA cites 27% satisfactory attendance for 2024-25, compared with 41% in the current 2025-26 year.",Museum High CNA Workbook,Validated — direct source,2024-25,Directly stated as the prior-year satisfactory attendance comparison.
Public Museum High,TFI Score,71.8%,,Implementation context,2024-25,Tiered Fidelity Inventory score reported in the school CNA.,Museum High CNA Workbook,Validated — direct source,2024-25,Directly stated as 71.8% TFI.
Public Museum High,Panorama Participation,91.4%,,Survey participation context,Fall 2025,Percent of scholars participating in the Fall 2025 Panorama survey.,Museum High CNA Workbook,Validated — direct source,Fall 2025,Directly stated as 91.4% scholar participation.
Innovation Central High,Assessment Participation,95%,,Assessment context,CNA current,School CNA reports 95% of scholars participated in state testing.,Innovation Central CNA Workbook,Validated — direct source,2025-26 CNA,Directly stated as 95% of scholars testing.
Grand Rapids Montessori Middle/High,Severe Chronic Absence,21%,3.1,Attendance component,2024-25,Severely chronically absent share reported by the school CNA.,GRM Middle High CNA Workbook,Validated — direct source,2024-25,Directly stated as 21%.
Grand Rapids Montessori Middle/High,Moderate Chronic Absence,32%,3.1,Attendance component,2024-25,Moderately chronically absent share reported by the school CNA.,GRM Middle High CNA Workbook,Validated — direct source,2024-25,Directly stated as 32%.
Innovation Central Middle School,African American Math Proficient,28%,,Equity context,CNA current,Derived complement of the school CNA statement that 72% of African American scholars were not proficient in Math.,RMS CNA Workbook,Validated — derived,2024-25 CNA,Derived complement of 72% not proficient. Not directly stated in source.
